Time,Energy Usage,t,tp,rf,wr,wg,wsr,wsg,regen,ldred,ldstat,sonne
2021-01-27 11:00:00,8.03,0.0,-3.8,75.0,130.0,3.6,,7.6,0.0,1018.4,973.5,93.0
2021-01-27 12:00:00,6.85,1.9,-3.3,68.0,150.0,5.4,,9.4,0.0,1017.7,973.1,66.0
2021-01-27 13:00:00,8.86,3.5,-2.8,63.0,190.0,7.6,,11.2,0.0,1016.8,972.5,100.0
2021-01-27 14:00:00,7.37,4.4,-5.3,49.0,120.0,9.4,,14.8,0.0,1016.3,972.1,99.0
2021-01-27 15:00:00,7.67,5.0,-7.6,40.0,150.0,5.4,,11.2,0.0,1015.5,971.5,100.0
2021-01-27 16:00:00,7.55,2.5,-6.2,53.0,160.0,5.4,,13.0,0.0,1015.8,971.4,57.0
2021-01-27 17:00:00,7.21,2.1,-6.6,53.0,170.0,3.6,,7.6,0.0,1015.8,971.3,1.0
2021-01-27 18:00:00,6.01,-1.1,-5.9,69.0,160.0,1.8,,5.4,0.0,1016.4,971.4,0.0
2021-01-27 19:00:00,3.42,-1.6,-5.7,74.0,250.0,1.8,,3.6,0.0,1016.4,971.3,0.0
2021-01-27 20:00:00,6.16,-1.2,-5.1,75.0,340.0,1.8,,7.6,0.0,1016.3,971.3,0.0
2021-01-27 21:00:00,3.82,-1.9,-5.0,80.0,340.0,1.8,,5.4,0.0,1015.9,970.8,0.0
2021-01-27 22:00:00,3.09,-1.6,-4.8,79.0,340.0,3.6,,5.4,0.0,1016.0,970.9,0.0
2021-01-27 23:00:00,3.75,-2.4,-5.3,81.0,350.0,1.8,,7.6,0.0,1016.1,970.9,0.0
2021-01-28 00:00:00,3.2,-1.8,-3.9,85.0,280.0,1.8,,5.4,0.0,1015.9,970.8,0.0
2021-01-28 01:00:00,3.44,-2.5,-4.3,88.0,100.0,1.8,,5.4,0.0,1015.7,970.5,0.0
2021-01-28 02:00:00,3.28,-4.0,-5.3,91.0,0.0,1.8,,5.4,0.0,1015.9,970.4,0.0
2021-01-28 03:00:00,3.38,-3.2,-4.5,91.0,240.0,3.6,,3.6,0.0,1015.7,970.4,0.0
