,0
0,'11240';'Graz/Flughafen';'340';'2021-01-27';'00:00';'-4.5';'°C';'2021-01-27 00:10:19'
1,'11240';'Graz/Flughafen';'340';'2021-01-27';'01:00';'-5.0';'°C';'2021-01-27 01:10:11'
2,'11240';'Graz/Flughafen';'340';'2021-01-27';'02:00';'-6.4';'°C';'2021-01-27 02:10:10'
3,'11240';'Graz/Flughafen';'340';'2021-01-27';'03:00';'-5.0';'°C';'2021-01-27 03:10:22'
4,'11240';'Graz/Flughafen';'340';'2021-01-27';'04:00';'-6.5';'°C';'2021-01-27 04:10:09'
5,'11240';'Graz/Flughafen';'340';'2021-01-27';'05:00';'-6.4';'°C';'2021-01-27 05:15:09'
6,'11240';'Graz/Flughafen';'340';'2021-01-27';'06:00';'-6.0';'°C';'2021-01-27 06:10:12'
7,'11240';'Graz/Flughafen';'340';'2021-01-27';'07:00';'-7.0';'°C';'2021-01-27 07:10:08'
8,'11240';'Graz/Flughafen';'340';'2021-01-27';'08:00';'-6.2';'°C';'2021-01-27 08:10:12'
9,'11240';'Graz/Flughafen';'340';'2021-01-27';'09:00';'-3.4';'°C';'2021-01-27 09:10:08'
10,'11240';'Graz/Flughafen';'340';'2021-01-27';'10:00';'-1.5';'°C';'2021-01-27 10:15:20'
11,'11240';'Graz/Flughafen';'340';'2021-01-27';'11:00';'0.0';'°C';'2021-01-27 11:10:09'
12,'11240';'Graz/Flughafen';'340';'2021-01-27';'12:00';'1.9';'°C';'2021-01-27 12:10:10'
13,'11240';'Graz/Flughafen';'340';'2021-01-27';'13:00';'3.5';'°C';'2021-01-27 13:10:11'
14,'11240';'Graz/Flughafen';'340';'2021-01-27';'14:00';'4.4';'°C';'2021-01-27 14:10:11'
15,'11240';'Graz/Flughafen';'340';'2021-01-27';'15:00';'5.0';'°C';'2021-01-27 15:10:12'
16,'11240';'Graz/Flughafen';'340';'2021-01-27';'16:00';'2.5';'°C';'2021-01-27 16:10:10'
